C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 238, total of 600, loss 0.003624844830483198
communicate round 239, total of 600, loss 0.003822052851319313
communicate round 240, total of 600, loss 0.00360634527169168
communicate round 241, total of 600, loss 0.0036464459262788296
communicate round 242, total of 600, loss 0.0037482574116438627
communicate round 243, total of 600, loss 0.003732644720003009
communicate round 244, total of 600, loss 0.0036408393643796444
communicate round 245, total of 600, loss 0.0036683406215161085
communicate round 246, total of 600, loss 0.003678656881675124
communicate round 247, total of 600, loss 0.0036973641254007816
communicate round 248, total of 600, loss 0.0037933446001261473
communicate round 249, total of 600, loss 0.004194776527583599
communicate round 250, total of 600, loss 0.0037194208707660437
communicate round 251, total of 600, loss 0.004686975385993719
communicate round 252, total of 600, loss 0.00473870849236846
communicate round 253, total of 600, loss 0.0036574138794094324
communicate round 254, total of 600, loss 0.0038418355397880077
communicate round 255, total of 600, loss 0.0037991967983543873
communicate round 256, total of 600, loss 0.0036825069691985846
communicate round 257, total of 600, loss 0.004678691737353802
communicate round 258, total of 600, loss 0.005443052388727665
communicate round 259, total of 600, loss 0.0036663534119725227
communicate round 260, total of 600, loss 0.003655216423794627
communicate round 261, total of 600, loss 0.0036787379067391157
communicate round 262, total of 600, loss 0.003968352451920509
communicate round 263, total of 600, loss 0.0038689624052494764
communicate round 264, total of 600, loss 0.003806278109550476
communicate round 265, total of 600, loss 0.00376460375264287
communicate round 266, total of 600, loss 0.0036648623645305634
communicate round 267, total of 600, loss 0.0037760783452540636
communicate round 268, total of 600, loss 0.003671114332973957
communicate round 269, total of 600, loss 0.004449079744517803
communicate round 270, total of 600, loss 0.0037935273721814156
communicate round 271, total of 600, loss 0.0036834680940955877
communicate round 272, total of 600, loss 0.0037035539280623198
communicate round 273, total of 600, loss 0.004517813213169575
communicate round 274, total of 600, loss 0.0037887743674218655
communicate round 275, total of 600, loss 0.003704887581989169
communicate round 276, total of 600, loss 0.004030941985547543
communicate round 277, total of 600, loss 0.00369352288544178
communicate round 278, total of 600, loss 0.003694867016747594
communicate round 279, total of 600, loss 0.0036787944845855236
communicate round 280, total of 600, loss 0.003720765234902501
communicate round 281, total of 600, loss 0.0037513310089707375
communicate round 282, total of 600, loss 0.003824976971372962
communicate round 283, total of 600, loss 0.003945388365536928
communicate round 284, total of 600, loss 0.003951427526772022
communicate round 285, total of 600, loss 0.0038194942753762007
communicate round 286, total of 600, loss 0.003789793699979782
communicate round 287, total of 600, loss 0.0037511817645281553
