C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 394, total of 500, loss 0.006358094047755003
communicate round 395, total of 500, loss 0.005183153320103884
communicate round 396, total of 500, loss 0.0042960746213793755
communicate round 397, total of 500, loss 0.00481182849034667
communicate round 398, total of 500, loss 0.004290744196623564
communicate round 399, total of 500, loss 0.00611588591709733
communicate round 400, total of 500, loss 0.00421929219737649
communicate round 401, total of 500, loss 0.004384833388030529
communicate round 402, total of 500, loss 0.004232258070260286
communicate round 403, total of 500, loss 0.004304487723857164
communicate round 404, total of 500, loss 0.004546457901597023
communicate round 405, total of 500, loss 0.004223110619932413
communicate round 406, total of 500, loss 0.005849811714142561
communicate round 407, total of 500, loss 0.004172167740762234
communicate round 408, total of 500, loss 0.005679534748196602
communicate round 409, total of 500, loss 0.004177792463451624
communicate round 410, total of 500, loss 0.004148551262915134
communicate round 411, total of 500, loss 0.004377984907478094
communicate round 412, total of 500, loss 0.004248123615980148
communicate round 413, total of 500, loss 0.004642394371330738
communicate round 414, total of 500, loss 0.004505283664911985
communicate round 415, total of 500, loss 0.004198132548481226
communicate round 416, total of 500, loss 0.004407424014061689
communicate round 417, total of 500, loss 0.004207405261695385
communicate round 418, total of 500, loss 0.004512511659413576
communicate round 419, total of 500, loss 0.004676610231399536
communicate round 420, total of 500, loss 0.005073350388556719
communicate round 421, total of 500, loss 0.004313056822866201
communicate round 422, total of 500, loss 0.004677224438637495
communicate round 423, total of 500, loss 0.004184380639344454
communicate round 424, total of 500, loss 0.0047691585496068
communicate round 425, total of 500, loss 0.004145800601691008
communicate round 426, total of 500, loss 0.004138119053095579
communicate round 427, total of 500, loss 0.005476369056850672
communicate round 428, total of 500, loss 0.004796136170625687
communicate round 429, total of 500, loss 0.00422764802351594
communicate round 430, total of 500, loss 0.004163581412285566
communicate round 431, total of 500, loss 0.004838068503886461
communicate round 432, total of 500, loss 0.00435755867511034
communicate round 433, total of 500, loss 0.004161329474300146
communicate round 434, total of 500, loss 0.00446822727099061
communicate round 435, total of 500, loss 0.004179139155894518
communicate round 436, total of 500, loss 0.004298754967749119
communicate round 437, total of 500, loss 0.004195088054984808
communicate round 438, total of 500, loss 0.004242477938532829
communicate round 439, total of 500, loss 0.004822682589292526
communicate round 440, total of 500, loss 0.004628549329936504
communicate round 441, total of 500, loss 0.006004856899380684
communicate round 442, total of 500, loss 0.004170961212366819
communicate round 443, total of 500, loss 0.004982008598744869
communicate round 444, total of 500, loss 0.004374973941594362
communicate round 445, total of 500, loss 0.004099116660654545
communicate round 446, total of 500, loss 0.005246225278824568
communicate round 447, total of 500, loss 0.004475257359445095
communicate round 448, total of 500, loss 0.004331469070166349
communicate round 449, total of 500, loss 0.004044618923217058
communicate round 450, total of 500, loss 0.004342080559581518
communicate round 451, total of 500, loss 0.004987006075680256
communicate round 452, total of 500, loss 0.004029895644634962
communicate round 453, total of 500, loss 0.004123317077755928
communicate round 454, total of 500, loss 0.004218910820782185
communicate round 455, total of 500, loss 0.004500428214669228
communicate round 456, total of 500, loss 0.004157570190727711
communicate round 457, total of 500, loss 0.004064560867846012
communicate round 458, total of 500, loss 0.004072573967278004
communicate round 459, total of 500, loss 0.004101227968931198
communicate round 460, total of 500, loss 0.004078760743141174
communicate round 461, total of 500, loss 0.004272911697626114
communicate round 462, total of 500, loss 0.00409871619194746
communicate round 463, total of 500, loss 0.004176141694188118
communicate round 464, total of 500, loss 0.006207756698131561
communicate round 465, total of 500, loss 0.003970107529312372
communicate round 466, total of 500, loss 0.004010379780083895
communicate round 467, total of 500, loss 0.004138557240366936
communicate round 468, total of 500, loss 0.004243407864123583
communicate round 469, total of 500, loss 0.004054401069879532
communicate round 470, total of 500, loss 0.004088280256837606
communicate round 471, total of 500, loss 0.004873391706496477
communicate round 472, total of 500, loss 0.004070770926773548
communicate round 473, total of 500, loss 0.004795984365046024
communicate round 474, total of 500, loss 0.0045052021741867065
communicate round 475, total of 500, loss 0.00438143964856863
communicate round 476, total of 500, loss 0.004295122344046831
communicate round 477, total of 500, loss 0.004093491937965155
communicate round 478, total of 500, loss 0.004141806159168482
communicate round 479, total of 500, loss 0.004267864860594273
communicate round 480, total of 500, loss 0.004114408046007156
communicate round 481, total of 500, loss 0.00452951667830348
communicate round 482, total of 500, loss 0.004155272152274847
communicate round 483, total of 500, loss 0.004062301944941282
communicate round 484, total of 500, loss 0.004079647362232208
communicate round 485, total of 500, loss 0.0041269282810389996
communicate round 486, total of 500, loss 0.004100280813872814
communicate round 487, total of 500, loss 0.004277174361050129
